測定日時	2012/8/14 15:50											
コメント	-1_20120814											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.244	1.078	0.428	0.503	0.315	1.09	0.311	0.558	0.297	1.065	0.313	0.369
B	0.669	0.18	0.168	0.765	0.685	0.16	0.228	0.638	0.815	0.232	0.348	0.437
C	1.444	0.157	0.128	0.259	0.319	0.328	0.139	0.199	0.336	0.257	0.329	0.303
D	1.446	1.068	0.139	0.943	1.234	1.149	0.148	0.917	1.209	1.196	0.344	0.658
E	0.208	1.007	0.216	0.531	0.205	1.112	0.225	0.556	0.29	0.996	0.376	0.356
F	1.231	0.21	0.17	0.563	1.162	0.16	0.195	0.666	1.084	0.254	0.331	0.42
G	0.275	0.879	0.274	0.205	0.267	0.762	0.296	0.282	0.312	0.845	0.322	0.284
H	0.288	0.768	0.309	0.471	0.342	0.735	0.334	0.523	0.32	0.699	0.3	0.423
測定日時	2012/8/14 15:53											
コメント	20-4_20120814											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.369	1.027	0.329	0.451	0.384	0.997	0.378	0.522	0.33	0.973	0.318	0.313
B	0.715	0.309	0.323	0.679	0.508	0.181	0.196	1.142	0.526	0.28	0.42	0.903
C	1.247	0.652	0.321	0.322	1.178	0.135	0.215	0.375	0.974	0.385	0.336	0.3
D	1.259	1.081	0.345	0.849	1.153	1.029	0.191	0.864	1.124	1.138	0.388	0.638
E	0.287	0.964	0.313	0.54	0.317	1.055	0.253	0.392	0.339	0.999	0.478	0.375
F	1.201	0.377	0.329	0.503	0.979	0.3	0.186	0.591	0.972	0.322	0.342	0.452
G	0.314	0.685	0.358	0.325	0.313	0.816	0.401	0.339	0.348	0.786	0.328	0.288
H	0.255	0.537	0.288	0.695	0.309	0.597	0.461	0.428	0.298	0.524	0.286	0.511
測定日時	2012/8/14 15:57											
コメント	20-3_20120814											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.293	1.044	0.376	0.482	0.345	0.987	0.354	0.533	0.358	0.97	0.405	0.325
B	0.503	0.292	0.322	0.845	0.96	0.2	1.139	0.959	0.8	0.308	0.366	0.887
C	1.241	0.418	0.222	0.453	1.139	0.258	0.177	0.347	0.863	0.359	0.339	0.297
D	1.237	1.038	0.875	1.101	1.091	1.021	0.86	0.813	1.096	1.087	0.424	0.567
E	0.32	0.985	0.197	0.543	0.399	1.038	0.406	0.375	0.333	0.967	0.477	0.337
F	1.227	0.299	0.946	0.525	1.127	0.218	0.938	0.53	0.942	0.456	0.372	0.454
G	0.316	0.953	0.343	0.327	0.361	0.83	0.259	0.349	0.362	0.834	0.346	0.274
H	0.29	0.674	0.683	1.014	0.347	0.636	0.342	0.964	0.334	0.64	0.519	0.626
測定日時	2012/8/14 16:00											
コメント	20-2_20120814											
測定者	TY											
吸光度												
	1	2	3	4	5	6	7	8	9	10	11	12
